strain,sex,id,age,pct_fat,hTG,BW,BWC,LW,LW_BW,GLU,GTT0,GTT30,GTT60,GTT120,Insulin,AUC_GTT2,AUC_GTT1,pct_ITT0,pct_ITT30,pct_ITT60,pct_ITT120,AUC_ITT2,AUC_ITT1,TG,TC,FC,CE,PL,BHB,FFA
PL/J,m,61,13,18.5,96.2,22.1,24.3,0.870,3.93,174,175,263,202,130,0.890,2505,3045,100,54.9,35.3,48.6,-10050,-4020,77.2,78.0,14.8,106,174,0.865,0.370
PL/J,m,62,13,25.8,76.4,23.5,37.8,0.880,3.74,165,172,234,214,168,1.52,3630,2490,100,66.5,55.7,58.9,-6690,-2640,64.4,80.8,14.0,112,185,0.631,0.310
PL/J,m,63,13,17.8,98.7,23.3,67.6,0.960,4.12,214,231,322,292,209,0.846,4808,3652,100,49.0,42.9,43.4,-11475,-4725,68.8,79.2,15.6,106,180,0.877,0.260
SWR/J,f,112,9,12.5,42.2,16.1,100,0.600,3.73,121,111,201,159,123,0.0250,5220,3420,100,55.0,15.3,41.2,-9003,-4115,185,72.4,14.8,96.2,155,1.15,
SWR/J,f,113,9,11.5,37.7,16.7,100,0.670,3.99,126,106,202,170,129,0.0640,6450,3840,100,36.7,26.5,34.7,-10519,-5114,184,77.2,14.4,105,163,1.41,
SWR/J,f,114,9,15.0,34.0,16.0,50.0,0.620,3.86,102,92.0,168,191,127,0.0250,7785,3765,100,52.3,31.5,45.0,-6816,-3117,185,77.6,14.8,105,166,0.702,
SWR/J,f,115,9,13.1,57.3,16.6,64.3,0.640,3.88,124,82.0,187,149,117,0.0250,7215,4155,100,40.1,29.9,28.7,-11787,-5298,160,58.4,18.8,66.1,164,1.24,
SWR/J,f,116,9,11.7,51.1,16.9,121,0.650,3.87,126,101,171,114,116,0.0460,3135,2295,100,36.0,25.3,31.3,-10996,-4976,157,82.0,15.2,112,168,1.49,
SWR/J,m,100,13,11.6,46.1,22.6,115,1.05,4.64,200,223,307,232,101,0.0800,2265,2655,100,36.9,25.6,25.0,-13185,-5295,108,82.8,10.8,120,180,0.932,0.520
SWR/J,m,101,13,11.1,35.5,24.2,112,1.22,5.04,158,178,302,215,132,0.253,4005,4275,100,47.8,20.3,24.6,-10230,-3810,111,75.6,11.2,108,176,0.865,0.580
SWR/J,m,102,13,15.5,61.2,24.0,112,1.18,4.93,172,172,318,192,120,0.370,3720,4680,100,44.8,28.5,39.0,-11535,-4695,95.9,83.5,11.6,120,,1.12,0.380
SWR/J,m,103,13,11.8,40.5,24.4,93.9,1.11,4.53,184,206,285,208,126,0.267,2260,2400,100,44.7,23.6,39.1,-11145,-4515,83.2,82.0,10.4,120,182,0.972,0.230
SWR/J,m,99,13,10.9,91.7,24.3,139,1.10,4.51,148,169,268,174,105,0.0410,1275,3045,100,46.1,25.8,22.7,-9315,-3495,81.6,93.6,14.0,133,200,1.72,0.450
